0-0-0-0,-268.75,-1300.0,525.0,8,32
0-0-0-1,-268.75,-1300.0,525.0,8,32
0-0-0-2,-268.75,-1300.0,525.0,8,32
0-0-0-3,-268.75,-1300.0,525.0,8,32
0-0-0-4,-268.75,-1300.0,525.0,8,32
0-0-0-5,-268.75,-1300.0,525.0,8,32
0-0-0-6,-268.75,-1300.0,525.0,8,32
0-0-0-7,-268.75,-1300.0,525.0,8,32
0-0-0-8,-268.75,-1300.0,525.0,8,32
0-0-0-9,-268.75,-1300.0,525.0,8,32
0-0-0-10,-268.75,-1300.0,525.0,8,32
0-0-0-11,-268.75,-1300.0,525.0,8,32
0-0-0-12,-268.75,-1300.0,525.0,8,32
0-0-0-13,-268.75,-1300.0,525.0,8,32
0-0-0-14,-268.75,-1300.0,525.0,8,32
0-0-0-15,-268.75,-1300.0,525.0,8,32
0-0-0-16,-268.75,-1300.0,525.0,8,32
0-0-0-17,-268.75,-1300.0,525.0,8,32
0-0-0-18,-268.75,-1300.0,525.0,8,32
0-0-0-19,-268.75,-1300.0,525.0,8,32
0-0-0-20,-268.75,-1300.0,525.0,8,32
0-0-0-21,-268.75,-1300.0,525.0,8,32
0-0-0-22,-268.75,-1300.0,525.0,8,32
0-0-0-23,-268.75,-1300.0,525.0,8,32
0-0-0-24,-268.75,-1300.0,525.0,8,32
0-0-0-25,-268.75,-1300.0,525.0,8,32
0-0-0-26,-268.75,-1300.0,525.0,8,32
0-0-0-27,-268.75,-1300.0,525.0,8,32
0-0-0-28,-268.75,-1300.0,525.0,8,32
0-0-0-29,-268.75,-1300.0,525.0,8,32
0-0-1-0,-268.75,-1300.0,525.0,8,32
0-0-1-1,-268.75,-1300.0,525.0,8,32
0-0-1-2,-268.75,-1300.0,525.0,8,32
0-0-1-3,-268.75,-1300.0,525.0,8,32
0-0-1-4,-268.75,-1300.0,525.0,8,32
0-0-1-5,-268.75,-1300.0,525.0,8,32
0-0-1-6,-268.75,-1300.0,525.0,8,32
0-0-1-7,-268.75,-1300.0,525.0,8,32
0-0-1-8,-268.75,-1300.0,525.0,8,32
0-0-1-9,-268.75,-1300.0,525.0,8,32
0-0-1-10,-268.75,-1300.0,525.0,8,32
0-0-1-11,-268.75,-1300.0,525.0,8,32
0-0-1-12,-268.75,-1300.0,525.0,8,32
0-0-1-13,-268.75,-1300.0,525.0,8,32
0-0-1-14,-268.75,-1300.0,525.0,8,32
0-0-1-15,-268.75,-1300.0,525.0,8,32
0-0-1-16,-268.75,-1300.0,525.0,8,32
0-0-1-17,-268.75,-1300.0,525.0,8,32
0-0-1-18,-268.75,-1300.0,525.0,8,32
0-0-1-19,-268.75,-1300.0,525.0,8,32
0-0-1-20,-268.75,-1300.0,525.0,8,32
0-0-1-21,-268.75,-1300.0,525.0,8,32
0-0-1-22,-268.75,-1300.0,525.0,8,32
0-0-1-23,-268.75,-1300.0,525.0,8,32
0-0-1-24,-268.75,-1300.0,525.0,8,32
0-0-1-25,-268.75,-1300.0,525.0,8,32
0-0-1-26,-268.75,-1300.0,525.0,8,32
0-0-1-27,-268.75,-1300.0,525.0,8,32
0-0-1-28,-268.75,-1300.0,525.0,8,32
0-0-1-29,-268.75,-1300.0,525.0,8,32
0-0-2-0,-268.75,-1300.0,525.0,8,32
0-0-2-1,-268.75,-1300.0,525.0,8,32
0-0-2-2,-268.75,-1300.0,525.0,8,32
0-0-2-3,-268.75,-1300.0,525.0,8,32
0-0-2-4,-268.75,-1300.0,525.0,8,32
0-0-2-5,-268.75,-1300.0,525.0,8,32
0-0-2-6,-268.75,-1300.0,525.0,8,32
0-0-2-7,-268.75,-1300.0,525.0,8,32
0-0-2-8,-268.75,-1300.0,525.0,8,32
0-0-2-9,-268.75,-1300.0,525.0,8,32
0-0-2-10,-268.75,-1300.0,525.0,8,32
0-0-2-11,-268.75,-1300.0,525.0,8,32
0-0-2-12,-268.75,-1300.0,525.0,8,32
0-0-2-13,-268.75,-1300.0,525.0,8,32
0-0-2-14,-268.75,-1300.0,525.0,8,32
0-0-2-15,-268.75,-1300.0,525.0,8,32
0-0-2-16,-268.75,-1300.0,525.0,8,32
0-0-2-17,-268.75,-1300.0,525.0,8,32
0-0-2-18,-268.75,-1300.0,525.0,8,32
0-0-2-19,-268.75,-1300.0,525.0,8,32
